Subject,Year,ID,ID2,Syllabus,A,B,C,D,Picture,Question,Q1,M1,A1,S1,P1,Q2,M2,A2,S2,P2,Q3,M3,A3,S3,P3
MG2,2016,28,b,,,,,,gm201628b,The cost of buying a new heater is $990. It uses energy according to thefollowing energy label.,Energy is charged at the rate of $0.35/ kWh.How much will it cost in total to purchase and then run this heater for five years?,2,1873.75,,,,,,,,,,,,
MG2,2016,28,c,,,,,,gm201628c,"A cricket team is about to play two matches. The probability of the team having a win, a loss or a draw is 0.7, 0.1 and 0.2 respectively in each match. The possible results in the two matches are displayed in the probability tree diagram.","What is the probability of the team having a win and a draw, in any order?",2,0.28,,,"Paul claims that 1.4 is the probability of the team winning both matches.Give one reason why this is NOT correct.",1,Paul is not correct because the probability of an event occurring cannot be greater than 1.,,,,,,,
MG2,2016,28,d,,,,,,gm201628d,The table gives the contribution per period for an annuity with a future value of $1 at different interest rates and different periods of time.,"Margaret needs to save $75000 over 6 years for a deposit on a new apartment. She makes regular quarterly contributions into an investment account whichpays interest at 3% pa.How much will Margaret need to contribute each quarter to reach her savingsgoal?",2,2865,,,,,,,,,,,,
MG2,2016,28,e,,,,,,gm201628e,"A company makes large marshmallows. They are in the shape of a cylinder with diameter 5 cm and height 3 cm, as shown in the diagram.","Find the volume of one of these large marshmallows, correct to one decimal place.",2,58.9,,,"A cake is to be made by stacking 24 of these large marshmallows and filling the gaps between them with chocolate. The diagrams show the cake and its top view. The shading shows the gaps to be filled with chocolate.What volume of chocolate will be required? Give your answer correctto the nearest whole number.",3,193,,gm201628eii,,,,,
MG2,2016,29,a,,,,,,,Two unbiased coins are tossed.,What is the probability that one coin shows heads and the other shows tails?,1,1-Feb,,,"A game is played in which one player tosses the two coins. The rules are as follows:\(\bullet\) If both coins show heads, the player wins $40\(\bullet\) If both coins show tails, the player wins $20\(\bullet\) If one coin shows heads and the other shows tails, the player loses $30What is the financial expectation of this game?",2,0,,,,,,,
MG2,2016,29,b,,,,,,gm201629b,The mass \(M\) kg of a baby pig at age \(x\) days is given by \(M=A(1.1)^{x}\) where \(A\) is a constant. The graph of this equation is shown.,What is the value of \(A\)?,1,1.5,,,What is the daily growth rate of the pig's mass? Write your answer as a percentage.,1,10%,,,,,,,
MG2,2016,29,c,,,,,,gm201629c,The ages of members of a dance class are shown in the back-to-backstem-and-leaf plot.,"Pat claims that the women who attend the dance class are generally older than the men. Is Pat correct?Justify your answer by referring to the median and skewness of the two sets of data.",3,Pat is correct since the women's median age (55) is higher than the men's median age (45) and there are more women in the older age group (negatively skewed).,,,,,,,,,,,,
MG2,2016,29,d,,,,,,gm201629d,"Five students sat both a Physics and a Chemistry exam. Their results are shown in the table. The mean and standard deviation of each exam are also shown.The correlation coefficient for this data set is approximately 0.9.","Verify the value of the correlation coefficient, using your calculator, and give your value correct to three decimal places.",1,0.907,,,"By using the appropriate formulae from the Formulae and Data Sheet, and the given information, determine the equation of the least-squares line of best fit.",3,y=1.37x-28.76,,,,,,,
MG2,2016,29,e,,,,,,gm201629e,The graph shows the life expectancy of people born between 1900 and 2000.,"According to the graph, what is the life expectancy of a person born in 1932?",1,68,,,"With reference to the value of the gradient, explain the meaning of the gradient in this context.",2,0.25. Life expectancy increases by 0.25 years (3 months) for each year later that a person is born.,,,,,,,
MG2,2016,30,a,,,,,,,The area of a roof is 30 m\(^{2}\). Any rain that falls on the roof flows directly onto a garden.,Calculate how many litres of water flow onto the garden when 20 mm of rain falls on the roof.,2,600,,,,,,,,,,,,
MG2,2016,30,b,,,,,,gm201630b,"Michael was transferring some video files from his computer onto a USB stick. At some point during the transfer, he observed the information shown below.","Show that, at that time, approximately 3072 MB of data remained to be transferred.",1,(6.44-3.44)x1024=3072,,,"Calculate the speed required to transfer 3072 MB in 7 minutes. Give your answer in megabits per second (Mbps), correct to the nearest whole number. (Note that 1 megabit = 1000000 bits.)",3,61,,,,,,,
MG2,2016,30,c,,,,,,gm201630c,"A school playground consists of part of a circle, with centre \(O\), and a rectangle as shown in the diagram. The radius \(OB\) of the circle is 45 m, the width \(BC\) of the rectangle is 20 m and \(\angle AOB\) is 100\(^{\circ}\).","What is the area of the whole playground, correct to the nearest square metre?",5,6971,,,,,,,,,,,,
MG2,2016,30,d,,,,,,gm201630d,The formula to calculate z-scores can be rearranged to give,"In an examination, Aaron achieved a score of 88, which corresponds to a \(z\)-score of 2.4.Substitute these values into the rearranged formula above to form an equation.",1,Mean=88-2.4s,,,"In the same examination, Brock achieved a score of 52, which corresponds to a \(z\)-score of -1.2.Using this information, form another equation and solve it simultaneously with the equation from part (i) to find the values of \(\overline{x}\) and \(s\).",3,"Mean=64s=10",,,,,,,
